CUSTOMER_ID,CHURN_Ground_truth_Label,CHURN_PREDS,CHURN_PROBABILITY,CLIENT_TO_CONTACT,DISCOUNT
C106601,STAY,STAY,0.9302001,NO,0%
C100760,STAY,STAY,0.91610444,NO,0%
C109872,STAY,STAY,0.97706634,NO,0%
C110408,STAY,STAY,0.9680117,NO,0%
C113945,LEAVE,STAY,0.51541203,NO,0%
C104037,LEAVE,LEAVE,0.33468366,YES,10%
C108959,LEAVE,STAY,0.74305844,NO,0%
C106372,STAY,STAY,0.9890576,NO,0%
C108139,STAY,STAY,0.80936176,NO,0%
C106719,STAY,STAY,0.5638551,NO,0%
C101263,STAY,STAY,0.96025157,NO,0%
C105089,LEAVE,LEAVE,0.20919128,YES,5%
C104274,LEAVE,STAY,0.50414556,NO,0%
C106199,STAY,STAY,0.5524706,NO,0%
C107211,LEAVE,STAY,0.9285241,NO,0%
C101952,STAY,STAY,0.9713766,NO,0%
C101737,STAY,STAY,0.99856734,NO,0%
C102116,STAY,STAY,0.97184205,NO,0%
C105934,STAY,STAY,0.96907604,NO,0%
C100823,LEAVE,LEAVE,0.41005722,YES,10%
C104303,STAY,STAY,0.9483127,NO,0%
C103653,LEAVE,STAY,0.5840786,NO,0%
C102897,STAY,STAY,0.94135135,NO,0%
C100912,STAY,STAY,0.7683923,NO,0%
C110717,STAY,STAY,0.83701867,NO,0%
C110506,STAY,STAY,0.8262621,NO,0%
C107283,STAY,STAY,0.5709629,NO,0%
C115683,LEAVE,LEAVE,0.10746803,YES,5%
C110546,STAY,STAY,0.93178815,NO,0%
C112799,STAY,STAY,0.8331806,NO,0%
C103103,LEAVE,STAY,0.7077824,NO,0%
C104253,STAY,STAY,0.8226028,NO,0%
C113835,STAY,LEAVE,0.4385991,YES,10%
C105219,STAY,STAY,0.92328954,NO,0%
C103556,STAY,STAY,0.9538473,NO,0%
C113502,LEAVE,LEAVE,0.12555414,YES,5%
C105863,LEAVE,LEAVE,0.075544365,YES,5%
C110333,STAY,STAY,0.9712199,NO,0%
C102205,LEAVE,LEAVE,0.34960142,YES,10%
C105256,STAY,STAY,0.8158698,NO,0%
C106996,STAY,STAY,0.7304991,NO,0%
C106936,STAY,STAY,0.5093783,NO,0%
C113219,STAY,STAY,0.99328905,NO,0%
C104317,STAY,STAY,0.9612833,NO,0%
C105822,LEAVE,LEAVE,0.30679357,YES,10%
C102804,STAY,STAY,0.9571875,NO,0%
C105426,LEAVE,LEAVE,0.06655467,YES,5%
C106131,LEAVE,LEAVE,0.39058372,YES,10%
C113916,STAY,LEAVE,0.49946168,YES,10%
C109793,STAY,STAY,0.6879297,NO,0%
C112830,STAY,STAY,0.7370978,NO,0%
C102932,STAY,STAY,0.59504616,NO,0%
C107967,STAY,STAY,0.9256157,NO,0%
C105554,STAY,STAY,0.79322386,NO,0%
C104830,LEAVE,LEAVE,0.47085539,YES,10%
C114153,LEAVE,LEAVE,0.40276387,YES,10%
C104097,STAY,STAY,0.9599263,NO,0%
C115842,STAY,STAY,0.8806774,NO,0%
C104977,STAY,STAY,0.9796356,NO,0%
C104076,STAY,STAY,0.9564619,NO,0%
C111034,LEAVE,LEAVE,0.16742602,YES,5%
C107027,STAY,STAY,0.7585494,NO,0%
C101969,STAY,LEAVE,0.36193222,YES,10%
C115295,LEAVE,LEAVE,0.4900324,YES,10%
C114844,LEAVE,STAY,0.6270279,NO,0%
C110342,LEAVE,LEAVE,0.15526469,YES,5%
C111173,LEAVE,LEAVE,0.08333189,YES,5%
C111486,LEAVE,LEAVE,0.21226484,YES,5%
C105220,LEAVE,STAY,0.74687403,NO,0%
C110995,STAY,LEAVE,0.49099568,YES,10%
C106369,STAY,STAY,0.9491059,NO,0%
C104151,STAY,STAY,0.5214306,NO,0%
C108741,LEAVE,LEAVE,0.13713124,YES,5%
C107697,STAY,STAY,0.87832594,NO,0%
C109489,LEAVE,STAY,0.757149,NO,0%
C114745,LEAVE,LEAVE,0.13685057,YES,5%
C105784,STAY,STAY,0.9317962,NO,0%
C112474,LEAVE,LEAVE,0.14326026,YES,5%
C101568,LEAVE,LEAVE,0.030094527,YES,5%
